"","ID","Snip","Head.l","Date"
"1",1,"The virus has infected more than 3,497,300 people in at least 177 countries.","Coronavirus Map: Tracking the Global Outbreak","2020-01-28"
"2",2,"The latest cases were 14 people who had been evacuated by the U.S. government from a cruise ship in Japan.","Coronavirus in the U.S.: 29 Confirmed Cases, More Tests Underway","2020-02-03"
"3",3,"There are now three suspected cases in the city. The patients had recently been to China and came down with flulike symptoms.","Coronavirus in New York: 2 More Possible Cases in City Are Identified","2020-02-03"
"4",4,"A respiratory virus that originated in China has infected more than 900,000 people worldwide, with at least 200,000 cases in the United States.","The Coronavirus: What Scientists Have Learned So Far","2020-01-21"
"5",5,"American officials issued a cutoff of 5 p.m. on Sunday for airline passengers to leave China before being denied entry to the United States or subject to two-week quarantine.","‘Scared and Panicked’: Travelers Rush to Avoid Virus Quarantine","2020-02-02"
"6",6,"A tense nighttime drive along deserted roads to an empty airport, then a scramble to join the rush of passengers leaving China amid the coronavirus scare.","Home at Last From China: A Foreign Exchange Student’s Travel Ordeal","2020-02-03"
"7",7,"Distrust in science and institutions could be a major problem if the outbreak worsens.","Is the World Ready for the Coronavirus?","2020-01-30"
"8",8,"It may have started with a bat in a cave, but human activity set it loose.","We Made the Coronavirus Epidemic","2020-01-28"
"9",9,"The city's health commissioner has urged calm as cases of the dangerous new coronavirus crop up in a number of states. ","New York is Bracing for the Coronavirus","2020-01-28"
"10",10,"In Queens, some who recently returned from China have even self-quarantined. But officials have urged calm.","New York Braces for Coronavirus: ‘It’s Inevitable’","2020-01-27"
"11",1,"Test your knowledge of this week’s health news.","Weekly Health Quiz: Optimism, Muscles and Coronavirus","2020-01-30"
"12",2,"Public health experts explain the risks and what we still don’t know.","Should You Be Worried About the Coronavirus?","2020-01-28"
"13",3,"Lunar New Year celebrations have taken on a muted feel.","Coronavirus, a Fire and Anxiety in the Chinese Community","2020-01-30"
"14",4,"The state is home to more than half of the confirmed cases in the United States, and is using military bases as quarantine sites.","California and Coronavirus: Eight Cases Are Confirmed in the State","2020-01-31"
"15",5,"We must determine whether the outbreak will turn into a global epidemic.","To Understand the Wuhan Coronavirus, Look to the Epidemic Triangle","2020-01-30"
"16",6,"In the nearly 20 years since SARS, China’s importance in the global economy has grown exponentially.","SARS Stung the Global Economy. The Coronavirus Is a Greater Menace.","2020-02-03"
"17",7,"Investors have been worried that the mysterious epidemic in China could hurt economic growth.","Global Markets Are on Edge as Coronavirus Spreads","2020-01-28"
"18",8,"Toronto’s health care system fell into chaos and confusion during the SARS outbreak 17 years ago. Changes stemming from that crisis are now being tested.","SARS Was Deadly in Canada. Is the Country Ready for Coronavirus?","2020-01-31"
"19",9,"A newspaper front page called it a “Chinese virus.” Fake posts have warned people to avoid Chinese products. As the outbreak spreads, some worry about xenophobia.","An Outbreak of Racist Sentiment as Coronavirus Reaches Australia","2020-01-31"
"20",10,"Returning from a long holiday, Chinese investors consider the implications of the virtual shutdown of the world’s No. 2 economy.","China Stocks Plunge as Coronavirus Fears Grow","2020-02-03"
"21",1,"The C.D.C. is testing three patients in the city for coronavirus. Should New Yorkers be worried, and what could happen next?","Coronavirus in New York: What We Know So Far","2020-02-03"
"22",2,"The disease outbreak in China continues to spook investors around the world, though fears appear to be moderating slightly.","The Coronavirus Is Unwinding Global Economic Gains","2020-01-28"
"23",3,"Airlines are suspending direct flights to mainland China, and U.S. health officials are warning travelers to avoid all nonessential trips to the country, the center of the outbreak.","The Coronavirus: What Travelers Need to Know","2020-01-26"
"24",4,"","The Week in Business: Coronavirus Hits the World Economy","2020-02-02"
"25",5,"In an interview with Sean Hannity of Fox News, President Trump insulted his potential 2020 rivals, lamented impeachment and defended his administration’s coronavirus policies.","Trump Defends Closing Borders to Travelers to Fight Coronavirus","2020-02-02"
"26",6,"Authorities sealed off Wuhan, the Chinese city of 11 million at the center of the coronavirus outbreak. Residents told us how they are coping.","‘I Feel Abandoned’: How Residents in Wuhan Are Coping With Coronavirus","2020-02-03"
"27",7,"Here are the latest images as the country confronts a major public health crisis.","China’s Battle With a Deadly Coronavirus, in Photos","2020-01-23"
"28",8,"The death was the second from the virus outside mainland China. The patient was a 39-year-old man who had visited Wuhan and returned to Hong Kong on Jan. 23.","Hong Kong Reports First Death From Coronavirus Outbreak","2020-02-03"
