,ID,Time,Snip,Head.l
1,1,2020-03-26T15:07:05+0000,Americans are turning to crowdfunding to cover coronavirus-related costs while the government prepares to deliver on its stimulus plan. But most campaigns aren’t meeting their goals.,GoFundMe Confronts Coronavirus Demand
2,2,2020-04-01T15:26:16+0000,A detailed chart shows the extent of the coronavirus outbreak.,Puerto Rico Coronavirus Case Count
3,3,2020-04-01T15:47:31+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Texas Coronavirus Map and Case Count
4,4,2020-04-01T15:47:35+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Utah Coronavirus Map and Case Count
5,5,2020-04-01T15:46:02+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Massachusetts Coronavirus Map and Case Count
6,6,2020-04-01T15:46:15+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Mississippi Coronavirus Map and Case Count
7,7,2020-04-01T15:28:18+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Kentucky Coronavirus Map and Case Count
8,8,2020-04-01T15:28:05+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Indiana Coronavirus Map and Case Count
9,9,2020-04-01T15:28:00+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Illinois Coronavirus Map and Case Count
10,10,2020-04-01T15:27:44+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Florida Coronavirus Map and Case Count
11,1,2020-04-01T15:27:44+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Florida Coronavirus Map and Case Count
12,2,2020-04-01T15:27:36+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Delaware Coronavirus Map and Case Count
13,3,2020-04-01T15:27:11+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Alaska Coronavirus Map and Case Count
14,4,2020-04-01T15:47:25+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Tennessee Coronavirus Map and Case Count
15,5,2020-04-01T15:47:38+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Vermont Coronavirus Map and Case Count
16,6,2020-04-01T15:46:30+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Nevada Coronavirus Map and Case Count
17,7,2020-04-01T15:46:06+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Michigan Coronavirus Map and Case Count
18,8,2020-04-01T15:46:19+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Missouri Coronavirus Map and Case Count
19,9,2020-04-01T15:46:27+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Nebraska Coronavirus Map and Case Count
20,10,2020-04-01T15:28:26+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Maine Coronavirus Map and Case Count
21,1,2020-04-01T15:28:09+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Iowa Coronavirus Map and Case Count
22,2,2020-04-01T15:28:13+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Kansas Coronavirus Map and Case Count
23,3,2020-04-01T15:27:15+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Arizona Coronavirus Map and Case Count
24,4,2020-04-01T15:27:39+0000,A detailed chart shows the extent of the coronavirus outbreak.,District of Columbia Coronavirus Case Count
25,5,2020-04-01T15:47:43+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Virginia Coronavirus Map and Case Count
26,6,2020-04-01T15:45:58+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Maryland Coronavirus Map and Case Count
27,7,2020-04-01T15:27:57+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Idaho Coronavirus Map and Case Count
28,8,2020-04-01T15:27:29+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Colorado Coronavirus Map and Case Count
29,9,2020-04-01T15:46:57+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Ohio Coronavirus Map and Case Count
30,10,2020-04-01T15:47:57+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Wyoming Coronavirus Map and Case Count
31,1,2020-04-01T15:47:57+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Wyoming Coronavirus Map and Case Count
32,2,2020-04-01T15:47:01+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Oklahoma Coronavirus Map and Case Count
33,3,2020-04-01T15:46:23+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Montana Coronavirus Map and Case Count
34,4,2020-04-01T15:27:07+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Alabama Coronavirus Map and Case Count
35,5,2020-04-01T15:27:50+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Georgia Coronavirus Map and Case Count
36,6,2020-04-01T15:27:25+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",California Coronavirus Map and Case Count
37,7,2020-04-01T15:47:47+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Washington Coronavirus Map and Case Count
38,8,2020-04-01T15:28:23+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Louisiana Coronavirus Map and Case Count
39,9,2020-04-01T15:47:09+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Pennsylvania Coronavirus Map and Case Count
40,10,2020-04-01T15:47:04+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Oregon Coronavirus Map and Case Count
41,1,2020-04-01T15:27:25+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",California Coronavirus Map and Case Count
42,2,2020-04-01T15:47:47+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Washington Coronavirus Map and Case Count
43,3,2020-04-01T15:28:23+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Louisiana Coronavirus Map and Case Count
44,4,2020-03-30T16:00:49+0000,"Some students want to abolish grades; people are working on their “Quarantine Routines”; and, handily, it’s National Doctor’s Day.",The Human Stories of the Coronavirus Pandemic
45,5,2020-04-01T15:47:12+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",Rhode Island Coronavirus Map and Case Count
46,6,2020-04-01T15:46:36+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",New Jersey Coronavirus Map and Case Count
47,7,2020-04-01T15:46:49+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",North Carolina Coronavirus Map and Case Count
48,8,2020-04-01T15:46:44+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",New York Coronavirus Map and Case Count
49,9,2020-04-01T15:46:40+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",New Mexico Coronavirus Map and Case Count
50,10,2020-04-01T15:47:51+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",West Virginia Coronavirus Map and Case Count
51,1,2020-04-01T15:46:53+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",North Dakota Coronavirus Map and Case Count
52,2,2020-04-01T15:46:33+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",New Hampshire Coronavirus Map and Case Count
53,3,2020-04-01T15:47:17+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",South Carolina Coronavirus Map and Case Count
54,4,2020-04-01T15:46:40+0000,"A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. ",New Mexico Coronavirus Map and Case Count
55,5,2020-03-28T19:19:21+0000,"As many as 200,000 workers could walk off the job unless demands for improved equipment and hazard pay are met.",Instacart Shoppers Plan to Strike Over Coronavirus Protections
56,6,2020-03-31T04:04:04+0000,"The scientists leading the administration’s fight estimated the virus could kill between 100,000 and 240,000 Americans. New data suggests many as 25 percent of infected people may not show symptoms.",White House Projects Grim Toll From Coronavirus
57,7,2020-04-02T18:54:37+0000,"Such a test may help scientists learn how widespread the infection is, and how long people remain immune after recovering.",F.D.A. Approves First Coronavirus Antibody Test in U.S.
58,8,2020-03-25T17:45:58+0000,Your questions answered on what happened and what’s next with the Summer Olympics now not happening this year in Tokyo.,"The Coronavirus and the Postponement of the Olympics, Explained"
59,9,2020-03-30T10:58:02+0000,"The Chinese region, where hundreds of thousands of Muslims are held in indoctrination camps, has been an information void. Uighurs fear a lockdown in the region drove many to hunger.","Xinjiang Returns to Work, but Coronavirus Worries Linger in China"
60,10,2020-03-30T14:57:49+0000,Navy officials insist that they are doing everything short of Saran-wrapping the ship to try to keep it virus-free.,Navy Hospital Ship Reaches New York. But It’s Not Made to Contain Coronavirus.
61,1,2020-04-02T23:26:54+0000,"In new guidance, the Labor Department effectively exempted many small businesses from a new requirement to provide paid leave to employees affected by the crisis.",Trump Administration Scales Back Paid Leave in Coronavirus Relief Law
62,2,2020-04-01T12:54:03+0000,"This August’s Edinburgh International Festival and its Fringe, two of theater and comedy’s most important events, are no more.",Edinburgh Festivals Canceled as Coronavirus Effects Stretch Into Summer
63,3,2020-04-02T15:34:49+0000,"The heads of several former Soviet republics have persisted in playing down the severity of the coronavirus pandemic, with some also promoting unproven folk remedies.",‘The Fields Heal Everyone’: Post-Soviet Leaders’ Coronavirus Denial
64,4,2020-04-01T16:08:12+0000,The pandemic is not just impacting parents and pregnant people — all prospective parents are facing new challenges.,"How Coronavirus Is Affecting Surrogacy, Foster Care and Adoption"
65,5,2020-03-27T19:51:18+0000,"What if a parent gets too sick? Or a child gets infected? “It’s just awkwardly, incredibly daunting now.”","For Divorced Parents, Navigating Coronavirus Is a Balancing Act"
66,6,2020-04-02T20:07:59+0000,"Drive-by parties, cakes left on porches and toasts raised on Zoom: Birthdays are both joyful and poignant as many look for ways to celebrate while social distancing.","As the Coronavirus Rages, Birthday Parties Celebrate Life in Isolation"
67,7,2020-04-03T12:11:39+0000,The federal government is asking online retailers to take unregistered products that falsely claim protection from coronavirus off the market.,E.P.A. Threatens Legal Action Against Sellers of Fake Coronavirus Cleaners
68,8,2020-03-25T11:45:57+0000,"He has been displaying mild symptoms, the palace said in a statement. A spokesman said the queen “remains in good health.”",Prince Charles Tests Positive for Coronavirus
69,9,2020-03-27T14:37:17+0000,"Gleams of hope do exist, epidemiologists and other experts say, and it’s important to remember them to stay resilient in difficult times.",4 Bright Spots Amid the Gloom of Coronavirus
70,10,2020-03-26T19:08:36+0000,The 50th edition of the world’s biggest modern and contemporary fair joins a growing list of canceled and postponed art events.,Art Basel Shifts to September Amid Coronavirus Concerns
71,1,2020-04-01T23:42:40+0000,"Stanley Chera, 78, is hospitalized and believed to be in a coma.",Friend Who Trump Says Has Coronavirus Is a New York Developer
72,2,2020-03-23T17:22:03+0000,"Welcome to Dilemmas, where we find solutions to your toughest quandaries.",Coronavirus Makes Daily Life Confounding. Here Are Some Answers.
73,3,2020-03-25T19:53:01+0000,The 74th annual ceremony and television broadcast won’t happen until Broadway reopens. How shows will be eligible remains to be determined.,Tony Awards Postponed Amid Coronavirus Crisis
74,4,2020-03-27T20:41:00+0000,"Cardiologists are seeing infected patients whose worst symptoms are not respiratory, but cardiac.","A Heart Attack? No, It Was the Coronavirus"
75,5,2020-04-02T17:27:56+0000,"Promotion and relegation concerns abound as soccer and rugby leagues consider canceling. In better news, Enes Kanter is cooking up a storm.",Coronavirus Coping: Novak Djokovic Is Playing Tennis With Frying Pans
76,6,2020-03-24T18:34:25+0000,Times Opinion wants to hear from you.,"Teenagers, How Is Coronavirus Upending Your Lives?"
77,7,2020-03-26T09:00:20+0000,"Despite some obvious suspects, scientists say chance may have played a big role in the explosion of cases.",What Made New York So Hospitable for Coronavirus?
78,8,2020-04-02T13:01:39+0000,"The treatment, which has been promoted by President Trump’s personal lawyer, Rudy Giuliani, will begin early-stage clinical trials.",Unproven Stem Cell Therapy Gets OK for Testing in Coronavirus Patients
79,9,2020-03-27T04:00:10+0000,"The country goes into the battle with the contagion better prepared than most. Even so, a doubling of cases every four days has the structure creaking and straining.","For France, Coronavirus Tests a Vaunted Health Care System"
80,10,2020-03-31T15:31:11+0000,"A Canadian filmmaker read the headlines, and a few weeks later a shoot was underway on a story addressing xenophobia and the pandemic. Then film festivals were canceled.",A Coronavirus Thriller Was Finished Just Before the Shutdown
81,1,2020-03-25T22:25:00+0000,"Coronavirus anxiety has contributed to a boom in gun sales, but some states have ordered dealers to close alongside other businesses.",Coronavirus and Firearms: Are Gun Shops Essential Businesses?
82,2,2020-04-02T16:09:01+0000,A Nobel laureate is cautiously positive about the market for the long run but worries about how long that will need to be.,Predictions for the Coronavirus Stock Market
83,3,2020-03-26T21:15:35+0000,"The economic stabilization package includes more than $12 billion for housing and protection from evictions and foreclosures, as the pandemic hits cities already in housing crises.",Congress Addresses Housing Crunch Amid Coronavirus Pandemic
84,4,2020-04-01T04:04:49+0000,"Florida’s governor belatedly directed residents to stay home, but only after a call with President Trump. States raised new concerns about medical supplies, and fears grew about a prolonged global downturn.","Coronavirus Spreads Amid Supply Shortages, Stay-at-Home Orders and Sobering Economics"
85,5,2020-03-27T11:47:21+0000,"With no detailed government database on where the thousands of coronavirus cases have been reported, a team of New York Times journalists is attempting to track every case.",We’re Sharing Coronavirus Case Data for Every U.S. County
86,6,2020-03-27T20:02:20+0000,"Some metros in the U.S. could have worse outbreaks than those in Italy’s Lombardy region or in Wuhan, China.",Four Ways to Measure Coronavirus Outbreaks in U.S. Metro Areas
87,7,2020-03-26T20:55:03+0000,"Following a series of missteps, the nation is now the epicenter of the pandemic.",The U.S. Now Leads the World in Confirmed Coronavirus Cases
88,8,2020-04-01T21:06:36+0000,"The Navy has so far refused to completely evacuate the Theodore Roosevelt, an aircraft carrier where 93 service members have been confirmed to be infected.",Prepare for War or Fight Coronavirus? U.S. Military Battles Competing Instincts
