"","ID","Time","Snip","Head.l"
"1",1,"2020-01-28T22:57:20+0000","The virus has infected more than 3,497,300 people in at least 177 countries.","Coronavirus Map: Tracking the Global Outbreak"
"2",2,"2020-02-03T19:14:10+0000","The latest cases were 14 people who had been evacuated by the U.S. government from a cruise ship in Japan.","Coronavirus in the U.S.: 29 Confirmed Cases, More Tests Underway"
"3",3,"2020-02-03T01:30:42+0000","There are now three suspected cases in the city. The patients had recently been to China and came down with flulike symptoms.","Coronavirus in New York: 2 More Possible Cases in City Are Identified"
"4",4,"2020-01-21T20:06:18+0000","A respiratory virus that originated in China has infected more than 900,000 people worldwide, with at least 200,000 cases in the United States.","The Coronavirus: What Scientists Have Learned So Far"
"5",5,"2020-02-02T23:57:37+0000","American officials issued a cutoff of 5 p.m. on Sunday for airline passengers to leave China before being denied entry to the United States or subject to two-week quarantine.","‘Scared and Panicked’: Travelers Rush to Avoid Virus Quarantine"
"6",6,"2020-02-03T10:00:23+0000","A tense nighttime drive along deserted roads to an empty airport, then a scramble to join the rush of passengers leaving China amid the coronavirus scare.","Home at Last From China: A Foreign Exchange Student’s Travel Ordeal"
"7",7,"2020-01-30T00:39:30+0000","Distrust in science and institutions could be a major problem if the outbreak worsens.","Is the World Ready for the Coronavirus?"
"8",8,"2020-01-28T06:02:59+0000","It may have started with a bat in a cave, but human activity set it loose.","We Made the Coronavirus Epidemic"
"9",9,"2020-01-28T10:15:25+0000","The city's health commissioner has urged calm as cases of the dangerous new coronavirus crop up in a number of states. ","New York is Bracing for the Coronavirus"
"10",10,"2020-01-27T18:30:23+0000","In Queens, some who recently returned from China have even self-quarantined. But officials have urged calm.","New York Braces for Coronavirus: ‘It’s Inevitable’"
"11",1,"2020-01-30T16:05:25+0000","Test your knowledge of this week’s health news.","Weekly Health Quiz: Optimism, Muscles and Coronavirus"
"12",2,"2020-01-28T22:50:04+0000","Public health experts explain the risks and what we still don’t know.","Should You Be Worried About the Coronavirus?"
"13",3,"2020-01-30T10:39:19+0000","Lunar New Year celebrations have taken on a muted feel.","Coronavirus, a Fire and Anxiety in the Chinese Community"
"14",4,"2020-01-31T22:15:11+0000","The state is home to more than half of the confirmed cases in the United States, and is using military bases as quarantine sites.","California and Coronavirus: Eight Cases Are Confirmed in the State"
"15",5,"2020-01-30T10:00:23+0000","We must determine whether the outbreak will turn into a global epidemic.","To Understand the Wuhan Coronavirus, Look to the Epidemic Triangle"
"16",6,"2020-02-03T08:00:16+0000","In the nearly 20 years since SARS, China’s importance in the global economy has grown exponentially.","SARS Stung the Global Economy. The Coronavirus Is a Greater Menace."
"17",7,"2020-01-28T08:04:15+0000","Investors have been worried that the mysterious epidemic in China could hurt economic growth.","Global Markets Are on Edge as Coronavirus Spreads"
"18",8,"2020-01-31T17:59:49+0000","Toronto’s health care system fell into chaos and confusion during the SARS outbreak 17 years ago. Changes stemming from that crisis are now being tested.","SARS Was Deadly in Canada. Is the Country Ready for Coronavirus?"
"19",9,"2020-01-31T06:18:06+0000","A newspaper front page called it a “Chinese virus.” Fake posts have warned people to avoid Chinese products. As the outbreak spreads, some worry about xenophobia.","An Outbreak of Racist Sentiment as Coronavirus Reaches Australia"
"20",10,"2020-02-03T01:49:50+0000","Returning from a long holiday, Chinese investors consider the implications of the virtual shutdown of the world’s No. 2 economy.","China Stocks Plunge as Coronavirus Fears Grow"
"21",1,"2020-02-03T20:24:38+0000","The C.D.C. is testing three patients in the city for coronavirus. Should New Yorkers be worried, and what could happen next?","Coronavirus in New York: What We Know So Far"
"22",2,"2020-01-28T11:30:51+0000","The disease outbreak in China continues to spook investors around the world, though fears appear to be moderating slightly.","The Coronavirus Is Unwinding Global Economic Gains"
