,ID,Time,Snip,Head.l,Date
1,1,2020-01-27T13:24:40+0000,A president who has survived one revelation after another the last three years now faces perhaps the most serious disclosure of his political career at the very moment he is on trial in the Senate.,A president who has survived one revelation after another the last three years now faces perhaps the most serious disclosure of his political career at the very moment he is on trial in the Senate.,1/27/2020
2,2,2020-02-03T22:40:27+0000,The two sides made their final speeches to senators with an eye toward the 2020 election.,The two sides made their final speeches to senators with an eye toward the 2020 election.,2/3/2020
3,3,2020-01-27T22:32:37+0000,A guide to the terms and phrases we’ve heard during the Senate impeachment trial of President Trump.,A guide to the terms and phrases we’ve heard during the Senate impeachment trial of President Trump.,1/27/2020
4,4,2020-02-03T01:15:21+0000,"In tweets and an interview with Sean Hannity, the president mocked the former New York mayor who seems to be on his mind.","In tweets and an interview with Sean Hannity, the president mocked the former New York mayor who seems to be on his mind.",2/3/2020
5,5,2020-02-02T21:59:39+0000,"In an interview with Sean Hannity of Fox News, President Trump insulted his potential 2020 rivals, lamented impeachment and defended his administration’s coronavirus policies.","In an interview with Sean Hannity of Fox News, President Trump insulted his potential 2020 rivals, lamented impeachment and defended his administration’s coronavirus policies.",2/2/2020
6,6,2020-01-25T19:30:07+0000,Only the voters can send the president packing? That’s a joke.,Only the voters can send the president packing? That’s a joke.,1/25/2020
7,7,2020-01-28T10:00:23+0000,President Trump’s legal team will complete oral arguments as negotiations accelerate over whether to include witnesses in the trial.,President Trump’s legal team will complete oral arguments as negotiations accelerate over whether to include witnesses in the trial.,1/28/2020
8,8,2020-01-28T01:30:16+0000,"The former national security adviser shared his unease with the attorney general, who cited his own worries about the president’s conversations with the leaders of Turkey and China.","The former national security adviser shared his unease with the attorney general, who cited his own worries about the president’s conversations with the leaders of Turkey and China.",1/28/2020
9,9,2020-01-24T18:43:24+0000,"House managers wrapped up their oral arguments on Friday, focusing on the obstruction of Congress charge against the president. Here were the highlights.","House managers wrapped up their oral arguments on Friday, focusing on the obstruction of Congress charge against the president. Here were the highlights.",1/24/2020
10,10,2020-01-26T23:48:39+0000,New revelations from the former White House national security adviser could complicate President Trump’s impeachment trial.,New revelations from the former White House national security adviser could complicate President Trump’s impeachment trial.,1/26/2020
